242,24,f,119.4,2016-05-01 03:25:56.397834+00,14
243,25,t,122.9,2016-05-01 03:25:56.410883+00,14
244,26,t,128.4,2016-05-01 03:25:56.424266+00,14
245,27,f,132.0,2016-05-01 03:25:56.437187+00,14
246,28,t,136.0,2016-05-01 03:25:56.453376+00,14
247,29,f,139.5,2016-05-01 03:25:56.466983+00,14
248,30,t,143.5,2016-05-01 03:25:56.480921+00,14
249,31,f,146.9,2016-05-01 03:25:56.494943+00,14
250,32,t,150.4,2016-05-01 03:25:56.507907+00,14
251,33,f,154.5,2016-05-01 03:25:56.522011+00,14
252,34,f,158.2,2016-05-01 03:25:56.535552+00,14
253,35,t,162.5,2016-05-01 03:25:56.55069+00,14
254,36,f,163.9,2016-05-01 03:25:56.565312+00,14
255,37,f,169.1,2016-05-01 03:25:56.57873+00,14
256,38,f,171.1,2016-05-01 03:25:56.59171+00,14
257,39,t,176.6,2016-05-01 03:25:56.604458+00,14
258,40,f,181.3,2016-05-01 03:25:56.617269+00,14
259,1,f,8.3,2016-05-01 03:29:49.754715+00,15
260,2,t,9.6,2016-05-01 03:29:49.789294+00,15
261,3,f,12.8,2016-05-01 03:29:49.807818+00,15
262,4,t,14.9,2016-05-01 03:29:49.825736+00,15
263,5,f,19.0,2016-05-01 03:29:49.843454+00,15
264,6,t,25.3,2016-05-01 03:29:49.863003+00,15
265,7,t,29.8,2016-05-01 03:29:49.881591+00,15
266,8,f,33.9,2016-05-01 03:29:49.912065+00,15
267,9,f,36.1,2016-05-01 03:29:49.931131+00,15
268,10,f,38.6,2016-05-01 03:29:49.949972+00,15
269,11,f,39.8,2016-05-01 03:29:49.969112+00,15
270,12,t,42.1,2016-05-01 03:29:49.986596+00,15
271,13,t,43.2,2016-05-01 03:29:50.005726+00,15
272,14,f,46.7,2016-05-01 03:29:50.023399+00,15
273,15,t,47.9,2016-05-01 03:29:50.042368+00,15
274,16,f,51.2,2016-05-01 03:29:50.062048+00,15
275,17,t,53.2,2016-05-01 03:29:50.079356+00,15
276,18,f,57.1,2016-05-01 03:29:50.097064+00,15
277,19,t,63.1,2016-05-01 03:29:50.11485+00,15
278,20,t,67.6,2016-05-01 03:29:50.13508+00,15
279,21,f,71.6,2016-05-01 03:29:50.155221+00,15
280,22,f,73.8,2016-05-01 03:29:50.173277+00,15
281,23,f,76.0,2016-05-01 03:29:50.192084+00,15
282,24,f,77.4,2016-05-01 03:29:50.213672+00,15
283,25,t,79.9,2016-05-01 03:29:50.232575+00,15
284,26,f,81.1,2016-05-01 03:29:50.251804+00,15
